"line","section_name","section_artist","song_name","artist_name","song_id"
"Well it was almost nighttime so we stayed inside","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"We closed our eyes","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"I whispered a thought I had","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"And you let on about the bitter cold","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"I brought out a smile to warm you up","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"We slept while holding hands, I couldn't sleep in the cold","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"You said just being near you and that smile is enough","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"You have the most wonderful sense of feeling right","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"A wonderful sense of being here tonight","Well it was almost nighttime so we stayed inside","Saves the Day","1:19","Saves the Day",991054
"Have you ever had one of those days when all the questions stink","Have you ever had one of those days when all the questions stink","Saves the Day","1959","Saves the Day",1607329
"So you just move on and the days gets long and sad, and you wish","Have you ever had one of those days when all the questions stink","Saves the Day","1959","Saves the Day",1607329
"You had just faked the answers to the questions before?","Have you ever had one of those days when all the questions stink","Saves the Day","1959","Saves the Day",1607329
"I'm dead inside and dying more every day","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Castrate my eyes and cut the lines in my face","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"The alcohol, the empty walls","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Repress, regress, erase regrets","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Return me now to where I was long ago","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I need you, I need your love","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I'm trying to rise above","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I want you to bring me back to life","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I feel their voices in the back of my head","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I hear their eyes and turn when nobody's there","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"The TV screens, the magazines","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Depressed, diseased, deny your dreams","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Dislocate, drained, adrift and losing control","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I need you, I need your love","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I'm trying to rise above","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I want you to bring me back to life","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"The lack, the need, the fear, the greed","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Redeem, amend, remember when","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"Return me now to where I was long ago","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I need you, I need your love","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I'm trying to rise above","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"I want you, I need your love","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
